Team,City,Country,Stadium,Address,Capacity,Pitch
Southend United,Southend-on-Sea,England,Roots Hall Stadium,"Victoria Avenue, Prittlewell",12392,Natural
Espinho,Espinho,Portugal,,,,
Strasbourg,Strasbourg,France,Stade de la Meinau,"12, Rue de l'Extenwoerth",29230,Natural
Valenciennes,Valenciennes,France,Stade du Hainaut,Nungesser,24926,Natural
Go Ahead Eagles,Deventer,Netherlands,De Adelaarshorst,Vetkampstraat 1,10000,Natural
Cambuur,Leeuwarden,Netherlands,Cambuurstadion,Cambuurplein 44,10000,Natural
Villarreal,Villarreal,Spain,Estadio de la Cerámica,Plaza Labrador,24500,Natural
Atlético Marbella,,,,,,
CD Badajoz,,,,,,
Lugo,Lugo,Spain,Estadio Anxo Carro,Avda. Dos Deportes s/n - 27004 Lugo,7250,Natural
Pescara,Pescara,Italy,Stadio Adriatico-Giovanni Cornacchia,Via Pepe,23800,Natural
Brescia,Brescia,Italy,Stadio Mario Rigamonti,"Via Giovanni Novagani, 8",27547,Natural
Ancona,,,,,,
Wolfsburg,Wolfsburg,Germany,Volkswagen-Arena,In den Allerwiesen 1 38446 Wolfsburg,30000,Natural
Wuppertaler SV,Wuppertal,Germany,,,,
FC Remscheid,,Germany,,,,
Birmingham City,Birmingham,England,St. Andrew's Stadium,St. Andrew's Road,30009,Natural
Peterborough,Peterborough,England,London Road Stadium,London Road,15142,Natural
Brentford,Brentford,England,Griffin Park,"Braemar Road, London Borough of Hounslow",12763,Natural
FC Martigues,Martigues,France,Stade Francis Turcan,"29, Chemin de Paradis 13500",11500,
Angers SCO,Angers,France,Stade Raymond-Kopa,"73, boulevard Jacques Portet 49002 Angers",17835,
NAC Breda,Breda,Netherlands,Rat Verlegh Stadion,Stadionstraat 23,19000,Natural
Leganés,Leganés,Spain,Municipal de Butarque,"C/ Arquitectura, s/n",11454,Césped natural
CD Toledo,Toledo,Spain,Municipal Salto del Caballo,"Av. Salto del Caballo s/n 45003, Toledo",5500,Césped natural
Hércules,Alicante,Spain,José Rico Pérez,"C/ Foguerer Romeu Zarandieta, s/n",29500,Natural
Reggiana,,Italy,Stadio Città del Tricolore,"Piazza Azzuri d'Italia, 1",29546,Natural
Piacenza,Piacenza,Italy,Leonardo Garilli,"Via Gorra, 25 Piacenza",21668,Natural
Tennis Borussia,Berlín,Germany,,,,
Bolton Wanderers,Bolton,England,Reebok Stadium,Burnden Way,28723,Natural
Oxford City,Oxford,England,Court Place Farm,"Marsh Road, Marston",2000,Natural
União de Leiria,Leiria,Portugal,Magalhaes Pessoa,Estadio Municipal Leiria Apartado 3074 2401-903 Leiria,30000,Natural
Bastia,"Bastia, Francia",France,Stade Armand Césari,Route du Stade,16078,Natural
